호선,역명,방향,5시대,6시대,7시대,8시대,9시대,10시대,11시대,12시대,13시대,14시대,15시대,16시대,17시대,18시대,19시대,20시대,21시대,22시대,23시대,24시대
,동대문,하선,31,19,22,35,51,45,48,48,57,56,60,53,55,47,39,34,37,32,23,0
,동대문역사문화공원,하선,24,16,19,31,47,42,46,45,55,54,58,51,50,43,36,31,35,30,22,0
,충무로,하선,22,12,14,22,37,35,39,38,49,50,54,49,48,43,35,29,31,26,18,0
,명동,하선,22,12,13,19,31,29,30,29,37,40,45,45,46,42,36,33,37,32,20,0
,회현,하선,22,11,12,17,27,26,27,26,35,39,45,46,47,44,38,36,38,31,20,0
,서울역,하선,20,10,9,15,24,25,25,24,32,32,39,41,42,39,35,32,35,32,25,0
,숙대입구,하선,22,10,9,14,24,24,24,24,31,31,39,41,41,38,34,30,35,32,24,0
,삼각지,하선,29,11,9,15,26,27,24,24,32,32,40,41,43,39,34,31,35,33,24,0
,신용산,하선,30,11,9,14,25,26,22,23,31,31,40,41,43,39,34,32,35,33,24,0
,이촌,하선,30,11,8,14,24,26,22,23,30,30,40,41,43,40,35,32,36,34,25,0
,동작,하선,0,13,9,14,25,28,24,24,31,32,42,42,45,41,37,35,36,35,27,0
,총신대입구,하선,0,15,10,16,28,32,27,27,33,34,40,40,41,39,34,33,34,33,25,0
,사당,하선,12,11,9,19,32,44,30,32,32,37,37,36,35,34,32,30,33,30,22,7
,남태령,하선,12,22,17,31,52,89,55,64,60,74,67,72,71,73,64,59,51,54,28,14
