호선,역명,방향,5시대,6시대,7시대,8시대,9시대,10시대,11시대,12시대,13시대,14시대,15시대,16시대,17시대,18시대,19시대,20시대,21시대,22시대,23시대,24시대
,교대,하선,28,41,75,106,52,41,39,41,47,46,51,56,52,70,62,41,41,47,36,7
,남부터미널,하선,25,33,60,83,42,33,32,34,39,39,42,48,45,64,55,40,38,45,35,6
,양재,하선,9,22,32,39,22,21,21,22,27,27,31,35,36,52,44,33,32,40,31,6
,매봉,하선,10,20,29,30,17,18,19,21,25,25,29,33,35,48,46,32,31,39,30,5
,도곡,하선,10,18,25,26,14,16,17,18,22,23,26,30,31,44,40,28,28,34,27,5
,대치,하선,9,17,22,25,13,14,16,16,20,21,24,27,28,41,38,26,26,34,24,4
,학여울,하선,10,17,21,24,12,13,15,15,19,20,23,27,28,39,38,26,26,34,24,6
,대청,하선,9,15,20,23,12,12,15,15,17,18,21,25,26,36,34,24,23,29,21,4
,일원,하선,8,13,16,20,10,10,12,12,15,16,19,23,25,33,32,22,21,27,19,4
,수서,하선,3,8,10,15,8,6,10,9,10,12,14,17,20,24,27,17,16,20,13,5
,가락시장,하선,0,4,6,13,7,6,6,6,6,6,8,10,11,17,21,12,12,13,14,6
,경찰병원,하선,0,3,5,7,3,4,4,5,4,5,6,8,9,13,14,9,8,10,8,3
,오금,하선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4호선,당고개,하선,5,4,9,10,6,5,4,4,4,4,4,3,4,3,2,2,2,2,1,0
,상계,하선,11,12,30,26,16,12,10,9,9,8,9,8,8,7,5,4,4,5,4,0
,노원,하선,14,19,42,47,27,20,19,18,18,16,17,18,16,16,12,12,11,17,11,2
,창동,하선,15,18,42,54,36,27,25,23,24,22,22,24,17,20,15,14,13,19,12,2
,쌍문,하선,25,25,61,74,47,36,31,29,29,25,24,26,19,22,16,14,13,18,13,1
,수유,하선,34,30,77,93,57,43,37,35,35,31,29,32,23,25,18,15,14,18,14,1
,미아,하선,38,31,81,103,61,46,40,37,37,33,31,34,26,27,19,16,14,18,16,2
,미아사거리,하선,49,35,93,122,69,53,44,41,40,37,33,35,27,29,20,17,16,18,16,2
,길음,하선,53,40,102,135,75,57,47,44,43,40,36,39,30,32,22,20,17,18,17,2
,성신여대,하선,60,42,105,144,81,61,51,48,46,45,41,44,34,37,25,22,20,23,20,1
,한성대입구,하선,48,41,104,151,84,63,53,51,49,47,44,48,37,42,28,25,22,26,23,4
,혜화,하선,49,40,96,148,83,65,56,55,54,53,53,57,46,52,35,34,35,46,38,5
,동대문,하선,56,37,91,135,79,61,53,54,53,54,55,59,49,55,35,32,35,45,37,4
,동대문역사문화공원,하선,43,29,66,108,68,56,50,52,50,51,50,55,45,51,36,31,32,40,35,5
,충무로,하선,36,22,48,77,51,44,43,45,45,47,48,51,43,49,35,29,30,36,30,4
,명동,하선,35,21,41,64,42,37,37,38,39,41,44,46,39,49,37,33,36,44,34,3
,회현,하선,34,18,35,49,32,30,29,32,35,40,43,49,42,55,41,37,38,46,36,6
,서울역,하선,30,16,30,40,27,27,27,30,32,36,40,46,39,57,43,36,37,44,37,7
,숙대입구,하선,33,16,27,37,25,25,26,28,32,35,41,45,41,58,43,36,37,44,37,6
,삼각지,하선,40,17,28,41,27,26,26,29,32,35,41,46,42,60,46,37,37,47,40,7
,신용산,하선,41,17,27,35,23,24,25,28,31,35,40,46,42,62,47,38,38,47,40,7
,이촌,하선,43,16,26,35,23,25,25,28,30,34,39,45,44,61,47,38,38,48,42,9
,동작,하선,0,20,26,37,24,26,27,28,32,36,40,47,46,65,52,40,42,49,44,9
,총신대입구,하선,0,23,28,40,25,28,28,28,32,34,37,44,44,59,50,38,40,47,41,8
,사당,하선,22,21,26,33,22,26,23,25,29,30,32,37,39,56,45,38,36,44,42,7
,남태령,하선,22,33,48,67,43,48,43,45,52,59,58,68,78,105,89,66,67,80,70,20
,,,,,,,,,,,,,,,,,,,,,,
