Train No,개화,김포공항,공항시장,신방화,마곡나루,양천향교,가양,증미,등촌,염창,신목동,선유도,당산,국회의사당,여의도,샛강,노량진,노들,흑석,동작,구반포,신반포,고속터미널,사평,신논현,언주,선정릉,삼성중앙,봉은사,종합운동장,
C9021,00:00:00,07:58:05,07:56:05,07:54:10,07:51:55,07:49:10,07:46:40,07:42:25,07:40:20,07:38:15,07:36:10,07:33:50,07:31:35,07:29:00,07:27:05,07:25:10,07:22:45,07:20:35,07:18:30,07:15:55,07:13:40,07:11:50,07:10:05,07:07:50,07:03:30,07:01:10,06:59:15,06:57:15,06:55:20,06:53:00,
E9509,,00:00:00,,,,,07:32:45,,,07:28:40,,,07:24:15,,07:20:30,,07:17:05,,,07:12:10,,,07:08:20,,07:05:05,,07:02:15,,06:59:40,06:57:15,
C9023,00:00:00,08:11:05,08:09:05,08:07:10,08:04:55,08:02:10,07:59:40,07:55:25,07:53:20,07:51:15,07:49:10,07:46:50,07:44:35,07:42:00,07:40:05,07:38:10,07:35:45,07:33:35,07:31:30,07:28:55,07:26:40,07:24:50,07:23:05,07:20:50,07:16:30,07:14:10,07:12:15,07:10:15,07:08:20,07:06:00,
E9511,,00:00:00,,,,,07:45:45,,,07:41:40,,,07:37:15,,07:33:30,,07:30:05,,,07:25:10,,,07:21:20,,07:18:05,,07:15:15,,07:12:40,07:10:15,
C9025,00:00:00,08:19:55,08:17:55,08:16:00,08:13:45,08:11:00,08:08:30,08:04:15,08:02:10,08:00:05,07:58:00,07:55:40,07:53:15,07:50:40,07:48:35,07:46:40,07:44:15,07:42:05,07:40:00,07:37:25,07:33:00,07:31:10,07:29:15,07:27:00,07:24:35,07:22:15,07:20:20,07:18:20,07:16:25,07:14:05,
E9513,,00:00:00,,,,,07:58:45,,,07:54:15,,,07:49:25,,07:45:25,,07:41:55,,,07:36:35,,,07:33:10,,07:30:05,,07:27:15,,07:24:40,07:22:15,
C9027,00:00:00,08:31:55,08:29:55,08:28:00,08:25:45,08:23:00,08:20:30,08:16:15,08:14:10,08:12:05,08:10:00,08:07:40,08:05:15,08:02:40,08:00:35,07:58:40,07:56:15,07:54:05,07:52:00,07:49:25,07:45:00,07:43:10,07:41:15,07:39:00,07:36:35,07:34:15,07:32:20,07:30:20,07:28:25,07:26:05,
E9515,,00:00:00,,,,,08:07:35,,,08:03:45,,,07:59:35,,07:56:05,,07:53:05,,,07:48:35,,,07:45:10,,07:42:05,,07:39:15,,07:36:40,07:34:15,
C9029,00:00:00,08:43:25,08:41:15,08:39:20,08:37:05,08:34:10,08:31:30,08:27:15,08:25:10,08:23:05,08:21:10,08:19:00,08:16:45,08:14:20,08:12:25,08:10:40,08:08:15,08:06:05,08:04:00,08:01:25,07:57:00,07:55:10,07:53:15,07:51:00,07:48:45,07:46:25,07:44:30,07:42:30,07:40:35,07:38:05,
E9517,,00:00:00,,,,,08:19:35,,,08:15:45,,,08:11:35,,08:08:05,,08:05:05,,,08:00:35,,,07:57:10,,07:54:05,,07:51:15,,07:48:40,07:46:15,
C9031,00:00:00,08:51:35,08:49:35,08:47:40,08:45:25,08:42:40,08:40:10,08:36:00,08:33:55,08:31:50,08:29:45,08:27:25,08:25:10,08:22:35,08:20:40,08:18:45,08:14:15,08:12:05,08:10:00,08:07:25,08:05:10,08:03:20,08:01:35,07:59:20,07:57:05,07:54:45,07:52:50,07:50:50,07:46:50,07:44:30,
C9033,00:00:00,08:59:30,08:57:40,08:55:55,08:53:50,08:51:15,08:48:50,08:44:35,08:42:30,08:40:15,08:38:10,08:35:50,08:33:35,08:31:00,08:29:05,08:27:10,08:22:45,08:20:35,08:18:30,08:15:55,08:13:40,08:11:50,08:10:05,08:07:50,08:03:30,08:01:10,07:59:15,07:57:20,07:55:25,07:53:05,
E9519,,00:00:00,,,,,08:30:35,,,08:26:45,,,08:22:35,,08:19:05,,08:16:05,,,08:11:35,,,08:08:10,,08:05:05,,08:02:15,,07:59:40,07:57:15,
C9035,00:00:00,09:08:55,09:06:55,09:05:00,09:02:45,09:00:00,08:57:30,08:53:15,08:51:10,08:49:05,08:47:00,08:44:40,08:42:15,08:39:40,08:37:45,08:35:50,08:31:25,08:29:15,08:27:10,08:24:35,08:22:20,08:20:30,08:18:45,08:16:30,08:12:00,08:09:40,08:07:40,08:05:40,08:03:45,08:01:15,
E9521,,00:00:00,,,,,08:39:15,,,08:35:25,,,08:31:15,,08:27:45,,08:24:45,,,08:20:15,,,08:16:50,,08:13:45,,08:10:55,,08:08:20,08:05:55,
C9037,00:00:00,09:17:35,09:15:35,09:13:40,09:11:25,09:08:40,09:06:10,09:01:55,08:59:50,08:57:45,08:55:40,08:53:20,08:50:55,08:48:20,08:46:25,08:44:30,08:40:05,08:37:55,08:35:50,08:33:15,08:31:00,08:29:10,08:27:25,08:25:10,08:20:40,08:18:20,08:16:20,08:14:20,08:12:25,08:09:55,
E9523,,00:00:00,,,,,08:47:55,,,08:44:05,,,08:39:55,,08:36:25,,08:33:25,,,08:28:55,,,08:25:30,,08:22:25,,08:19:35,,08:17:00,08:14:35,
C9039,00:00:00,09:26:15,09:24:15,09:22:20,09:20:05,09:17:20,09:14:50,09:10:35,09:08:30,09:06:25,09:04:20,09:02:00,08:59:35,08:57:00,08:55:05,08:53:10,08:48:45,08:46:35,08:44:30,08:41:55,08:39:40,08:37:50,08:36:05,08:33:50,08:29:20,08:27:00,08:25:00,08:23:00,08:21:05,08:18:35,
E9525,,00:00:00,,,,,08:56:35,,,08:52:45,,,08:48:35,,08:45:05,,08:42:05,,,08:37:35,,,08:34:10,,08:31:05,,08:28:15,,08:25:40,08:23:15,
C9041,00:00:00,09:34:55,09:32:55,09:31:00,09:28:45,09:26:00,09:23:30,09:19:15,09:17:10,09:15:05,09:13:00,09:10:40,09:08:15,09:05:40,09:03:45,09:01:50,08:57:25,08:55:15,08:53:10,08:50:35,08:48:20,08:46:30,08:44:45,08:42:30,08:38:00,08:35:40,08:33:40,08:31:40,08:29:45,08:27:15,
E9527,,00:00:00,,,,,09:05:15,,,09:01:25,,,08:57:15,,08:53:45,,08:50:45,,,08:46:15,,,08:42:50,,08:39:45,,08:36:55,,08:34:20,08:31:55,
C9043,00:00:00,09:43:30,09:41:30,09:39:35,09:37:25,09:34:40,09:32:10,09:27:55,09:25:50,09:23:45,09:21:40,09:19:20,09:16:55,09:14:20,09:12:25,09:10:30,09:06:05,09:03:55,09:01:50,08:59:15,08:57:00,08:55:10,08:53:25,08:51:10,08:46:40,08:44:20,08:42:20,08:40:20,08:38:25,08:35:55,
E9529,,00:00:00,,,,,09:13:55,,,09:10:05,,,09:05:55,,09:02:25,,08:59:25,,,08:54:55,,,08:51:30,,08:48:25,,08:45:35,,08:43:00,08:40:35,
C9045,00:00:00,09:52:15,09:50:15,09:48:20,09:46:05,09:43:20,09:40:50,09:36:35,09:34:30,09:32:25,09:30:20,09:28:00,09:25:35,09:23:00,09:21:05,09:19:10,09:14:45,09:12:35,09:10:30,09:07:55,09:05:40,09:03:50,09:02:05,08:59:50,08:55:20,08:53:00,08:51:00,08:49:00,08:47:05,08:44:35,
E9531,,00:00:00,,,,,09:22:35,,,09:18:45,,,09:14:35,,09:11:05,,09:08:05,,,09:03:35,,,09:00:10,,08:57:05,,08:54:15,,08:51:40,08:49:15,
C9047,00:00:00,10:00:20,09:58:20,09:56:25,09:54:10,09:51:25,09:48:45,09:44:30,09:42:25,09:40:20,09:38:15,09:35:55,09:33:40,09:31:05,09:29:10,09:27:15,09:22:50,09:20:40,09:18:35,09:16:00,09:13:45,09:11:55,09:10:10,09:07:55,09:03:35,09:01:15,08:59:20,08:57:20,08:55:25,08:53:05,
E9533,,00:00:00,,,,,09:31:15,,,09:27:25,,,09:23:05,,09:19:35,,09:16:30,,,09:11:50,,,09:08:15,,09:05:05,,09:02:15,,08:59:40,08:57:15,
C9049,00:00:00,10:08:10,10:06:10,10:04:15,10:02:00,09:59:15,09:56:45,09:52:30,09:50:25,09:48:20,09:46:15,09:43:55,09:41:40,09:39:05,09:37:10,09:35:15,09:30:50,09:28:40,09:26:35,09:24:00,09:21:45,09:19:55,09:18:10,09:15:55,09:11:35,09:09:15,09:07:20,09:05:20,09:03:25,09:01:05,
E9535,,00:00:00,,,,,09:39:55,,,09:35:55,,,09:31:30,,09:27:40,,09:24:30,,,09:19:50,,,09:16:15,,09:13:05,,09:10:15,,09:07:20,09:04:35,
C9051,00:00:00,10:15:10,10:13:10,10:11:15,10:09:00,10:06:15,10:03:45,09:59:30,09:57:25,09:55:20,09:53:15,09:50:55,09:48:40,09:46:05,09:44:10,09:42:15,09:37:50,09:35:40,09:33:35,09:31:00,09:28:45,09:26:55,09:25:10,09:22:55,09:18:35,09:16:15,09:14:20,09:12:20,09:10:25,09:08:05,
E9537,,00:00:00,,,,,09:47:50,,,09:43:50,,,09:39:30,,09:35:40,,09:32:20,,,09:27:15,,,09:23:15,,09:20:05,,09:17:15,,09:14:20,09:11:35,
C9053,00:00:00,10:22:20,10:20:20,10:18:25,10:16:10,10:13:25,10:10:45,10:06:30,10:04:25,10:02:20,10:00:15,09:57:55,09:55:40,09:53:05,09:51:10,09:49:15,09:44:50,09:42:40,09:40:35,09:38:00,09:35:45,09:33:55,09:32:10,09:29:55,09:25:35,09:23:15,09:21:20,09:19:20,09:17:25,09:15:05,
E9539,,00:00:00,,,,,09:55:50,,,09:51:30,,,09:46:40,,09:42:40,,09:39:20,,,09:34:15,,,09:30:15,,09:27:05,,09:24:15,,09:21:20,09:18:35,
C9055,00:00:00,10:29:10,10:27:10,10:25:15,10:23:00,10:20:15,10:17:45,10:13:30,10:11:25,10:09:20,10:07:15,10:04:55,10:02:40,10:00:05,09:58:10,09:56:15,09:51:50,09:49:40,09:47:35,09:45:00,09:42:45,09:40:55,09:39:10,09:36:55,09:32:35,09:30:15,09:28:20,09:26:20,09:24:25,09:22:05,
E9541,,00:00:00,,,,,10:02:50,,,09:58:30,,,09:53:40,,09:49:40,,09:46:20,,,09:41:15,,,09:37:15,,09:34:05,,09:31:15,,09:28:20,09:25:35,
C9057,00:00:00,10:36:10,10:34:10,10:32:15,10:30:00,10:27:15,10:24:45,10:20:30,10:18:25,10:16:20,10:14:15,10:11:55,10:09:40,10:07:05,10:05:10,10:03:15,09:58:50,09:56:40,09:54:35,09:52:00,09:49:45,09:47:55,09:46:10,09:43:55,09:39:35,09:37:15,09:35:20,09:33:20,09:31:25,09:29:05,
E9543,,00:00:00,,,,,10:09:50,,,10:05:30,,,10:00:40,,09:56:40,,09:53:20,,,09:48:15,,,09:44:15,,09:41:05,,09:38:15,,09:35:20,09:32:35,
C9059,00:00:00,10:43:10,10:41:10,10:39:15,10:37:00,10:34:15,10:31:45,10:27:30,10:25:25,10:23:20,10:21:15,10:18:55,10:16:40,10:14:05,10:12:10,10:10:15,10:05:50,10:03:40,10:01:35,09:59:00,09:56:45,09:54:55,09:53:10,09:50:55,09:46:35,09:44:15,09:42:20,09:40:20,09:38:25,09:36:05,
E9545,,00:00:00,,,,,10:16:50,,,10:12:30,,,10:07:40,,10:03:40,,10:00:20,,,09:55:15,,,09:51:15,,09:48:05,,09:45:15,,09:42:20,09:39:35,
C9061,00:00:00,10:49:30,10:47:40,10:45:55,10:43:50,10:41:15,10:38:45,10:34:30,10:32:25,10:30:20,10:28:15,10:25:55,10:23:40,10:21:05,10:19:10,10:17:15,10:12:50,10:10:40,10:08:35,10:06:00,10:03:45,10:01:55,10:00:10,09:57:55,09:53:35,09:51:15,09:49:20,09:47:20,09:45:25,09:43:05,
E9547,,00:00:00,,,,,10:23:50,,,10:19:30,,,10:14:40,,10:10:40,,10:07:20,,,10:02:15,,,09:58:15,,09:55:05,,09:52:15,,09:49:20,09:46:35,
C9063,00:00:00,10:56:15,10:54:15,10:52:20,10:50:05,10:47:20,10:44:50,10:42:45,10:40:40,10:38:35,10:36:30,10:34:10,10:31:55,10:29:20,10:27:25,10:25:30,10:20:55,10:18:45,10:16:40,10:14:05,10:11:50,10:10:00,10:08:05,10:05:50,10:01:15,09:58:55,09:56:50,09:54:50,09:52:45,09:50:15,
E9549,,00:00:00,,,,,10:30:50,,,10:26:30,,,10:21:50,,10:17:50,,10:14:35,,,10:09:50,,,10:06:10,,10:03:05,,10:00:15,,09:57:40,09:55:15,
C9065,00:00:00,11:07:00,11:05:00,11:03:05,11:00:40,10:57:55,10:55:15,10:52:55,10:50:35,10:48:20,10:46:10,10:43:40,10:39:15,10:36:40,10:34:35,10:32:40,10:30:05,10:27:55,10:25:50,10:23:05,10:20:50,10:19:00,10:17:05,10:14:50,10:10:20,10:08:00,10:06:05,10:04:05,10:01:55,09:59:20,
E9551,,00:00:00,,,,,10:37:50,,,10:33:55,,,10:29:35,,10:26:05,,10:23:05,,,10:18:35,,,10:15:10,,10:12:05,,10:09:15,,10:06:40,10:04:15,
C9067,00:00:00,11:13:05,11:11:05,11:09:10,11:06:55,11:04:10,11:01:40,10:57:25,10:55:20,10:53:15,10:51:10,10:48:50,10:46:35,10:44:00,10:42:05,10:40:10,10:37:45,10:35:35,10:33:30,10:30:55,10:26:40,10:24:50,10:23:05,10:20:50,10:18:35,10:16:15,10:14:20,10:12:20,10:10:25,10:08:05,
E9553,,00:00:00,,,,,10:49:20,,,10:45:15,,,10:41:05,,10:37:35,,10:34:35,,,10:30:05,,,10:26:30,,10:23:15,,10:20:25,,10:17:50,10:15:15,
C9069,00:00:00,11:24:05,11:22:05,11:20:10,11:17:55,11:15:10,11:12:40,11:08:25,11:06:20,11:04:15,11:02:10,10:59:50,10:57:35,10:55:00,10:53:05,10:51:10,10:48:45,10:46:35,10:44:30,10:41:55,10:37:40,10:35:50,10:34:05,10:31:50,10:29:35,10:27:15,10:25:20,10:23:20,10:21:25,10:19:05,
E9555,,00:00:00,,,,,11:00:45,,,10:56:50,,,10:52:30,,10:49:00,,10:45:50,,,10:41:05,,,10:37:30,,10:34:15,,10:31:25,,10:28:50,10:26:15,
C9071,00:00:00,11:29:15,11:27:15,11:25:20,11:23:05,11:20:20,11:17:50,11:15:55,11:14:00,11:11:55,11:10:00,11:07:50,11:05:35,11:03:05,11:01:15,10:59:25,10:55:00,10:52:50,10:50:45,10:48:00,10:45:45,10:43:55,10:42:00,10:39:45,10:37:20,10:35:00,10:32:55,10:30:55,10:26:50,10:24:30,
C9073,00:00:00,11:35:05,11:33:05,11:31:10,11:28:55,11:26:10,11:23:40,11:19:25,11:17:20,11:15:15,11:13:10,11:10:50,11:08:35,11:06:00,11:04:05,11:02:10,10:59:45,10:57:35,10:55:30,10:52:55,10:48:40,10:46:50,10:45:05,10:42:50,10:40:35,10:38:15,10:36:20,10:34:20,10:32:25,10:30:05,
E9557,,00:00:00,,,,,11:11:45,,,11:07:50,,,11:03:30,,11:00:00,,10:56:50,,,10:52:05,,,10:48:30,,10:45:15,,10:42:25,,10:39:50,10:37:15,
C9075,00:00:00,11:46:05,11:44:05,11:42:10,11:39:55,11:37:10,11:34:40,11:30:25,11:28:20,11:26:15,11:24:10,11:21:50,11:19:35,11:17:00,11:15:05,11:13:10,11:10:45,11:08:35,11:06:30,11:03:55,10:59:40,10:57:50,10:56:05,10:53:50,10:51:35,10:49:15,10:47:20,10:45:20,10:43:25,10:41:05,
E9559,,00:00:00,,,,,11:22:45,,,11:18:50,,,11:14:30,,11:11:00,,11:07:50,,,11:03:05,,,10:59:30,,10:56:15,,10:53:25,,10:50:50,10:48:15,
C9077,00:00:00,11:56:30,11:54:40,11:52:50,11:50:45,11:48:10,11:45:40,11:41:25,11:39:20,11:37:15,11:35:10,11:32:50,11:30:35,11:28:00,11:26:05,11:24:10,11:21:45,11:19:35,11:17:30,11:14:55,11:10:40,11:08:50,11:07:05,11:04:50,11:02:35,11:00:15,10:58:20,10:56:20,10:54:25,10:52:05,
E9561,,00:00:00,,,,,11:33:45,,,11:29:40,,,11:25:25,,11:21:55,,11:18:45,,,11:14:05,,,11:10:40,,11:07:25,,11:04:25,,11:01:50,10:59:25,
C9079,00:00:00,12:08:15,12:06:15,12:04:20,12:02:05,11:59:20,11:56:50,11:52:35,11:50:30,11:48:25,11:46:20,11:44:00,11:41:45,11:39:10,11:37:15,11:35:20,11:32:55,11:30:45,11:28:40,11:26:05,11:21:40,11:19:50,11:18:05,11:15:50,11:13:35,11:11:15,11:09:20,11:07:20,11:05:25,11:03:05,
E9563,,00:00:00,,,,,11:44:45,,,11:40:50,,,11:36:25,,11:32:55,,11:29:45,,,11:25:05,,,11:21:40,,11:18:25,,11:15:25,,11:12:50,11:10:25,
C9081,00:00:00,12:19:15,12:17:15,12:15:20,12:13:05,12:10:20,12:07:50,12:03:35,12:01:30,11:59:25,11:57:20,11:55:00,11:52:45,11:50:10,11:48:15,11:46:20,11:43:55,11:41:45,11:39:40,11:37:05,11:32:40,11:30:50,11:29:05,11:26:50,11:24:35,11:22:15,11:20:20,11:18:20,11:16:25,11:14:05,
E9565,,00:00:00,,,,,11:55:55,,,11:52:00,,,11:47:35,,11:43:55,,11:40:45,,,11:36:05,,,11:32:40,,11:29:25,,11:26:25,,11:23:50,11:21:15,
C9083,00:00:00,12:30:15,12:28:15,12:26:20,12:24:05,12:21:20,12:18:50,12:14:35,12:12:30,12:10:25,12:08:20,12:06:00,12:03:45,12:01:10,11:59:15,11:57:20,11:54:55,11:52:45,11:50:40,11:48:05,11:43:40,11:41:50,11:40:05,11:37:50,11:35:35,11:33:15,11:31:20,11:29:20,11:27:25,11:25:05,
E9567,,00:00:00,,,,,12:06:55,,,12:03:00,,,11:58:35,,11:54:55,,11:51:45,,,11:47:05,,,11:43:40,,11:40:25,,11:37:25,,11:34:50,11:32:15,
C9085,00:00:00,12:41:15,12:39:15,12:37:20,12:35:05,12:32:20,12:29:50,12:25:35,12:23:30,12:21:25,12:19:20,12:17:00,12:14:45,12:12:10,12:10:15,12:08:20,12:05:55,12:03:45,12:01:40,11:59:05,11:54:40,11:52:50,11:51:05,11:48:50,11:46:35,11:44:15,11:42:20,11:40:20,11:38:25,11:36:05,
E9569,,00:00:00,,,,,12:17:55,,,12:14:00,,,12:09:35,,12:05:55,,12:02:45,,,11:58:05,,,11:54:40,,11:51:25,,11:48:25,,11:45:50,11:43:15,
C9087,00:00:00,12:52:15,12:50:15,12:48:20,12:46:05,12:43:20,12:40:50,12:36:35,12:34:30,12:32:25,12:30:20,12:28:00,12:25:45,12:23:10,12:21:15,12:19:20,12:16:55,12:14:45,12:12:40,12:10:05,12:05:40,12:03:50,12:02:05,11:59:50,11:57:35,11:55:15,11:53:20,11:51:20,11:49:25,11:47:05,
E9571,,00:00:00,,,,,12:28:55,,,12:25:00,,,12:20:35,,12:16:55,,12:13:45,,,12:09:05,,,12:05:40,,12:02:25,,11:59:25,,11:56:50,11:54:15,
C9089,00:00:00,13:03:15,13:01:15,12:59:20,12:57:05,12:54:20,12:51:50,12:47:35,12:45:30,12:43:25,12:41:20,12:39:00,12:36:45,12:34:10,12:32:15,12:30:20,12:27:55,12:25:45,12:23:40,12:21:05,12:16:40,12:14:50,12:13:05,12:10:50,12:08:35,12:06:15,12:04:20,12:02:20,12:00:25,11:58:05,
E9573,,00:00:00,,,,,12:39:55,,,12:36:00,,,12:31:35,,12:27:55,,12:24:45,,,12:20:05,,,12:16:40,,12:13:25,,12:10:25,,12:07:50,12:05:15,
C9091,00:00:00,13:14:15,13:12:15,13:10:20,13:08:05,13:05:20,13:02:50,12:58:35,12:56:30,12:54:25,12:52:20,12:50:00,12:47:45,12:45:10,12:43:15,12:41:20,12:38:55,12:36:45,12:34:40,12:32:05,12:27:40,12:25:50,12:24:05,12:21:50,12:19:35,12:17:15,12:15:20,12:13:20,12:11:25,12:09:05,
E9575,,00:00:00,,,,,12:50:55,,,12:47:00,,,12:42:35,,12:38:55,,12:35:45,,,12:31:05,,,12:27:40,,12:24:25,,12:21:25,,12:18:50,12:16:15,
C9093,00:00:00,13:25:15,13:23:15,13:21:20,13:19:05,13:16:20,13:13:50,13:09:35,13:07:30,13:05:25,13:03:20,13:01:00,12:58:45,12:56:10,12:54:15,12:52:20,12:49:55,12:47:45,12:45:40,12:43:05,12:38:40,12:36:50,12:35:05,12:32:50,12:30:35,12:28:15,12:26:20,12:24:20,12:22:25,12:20:05,
E9577,,00:00:00,,,,,13:01:55,,,12:58:00,,,12:53:35,,12:49:55,,12:46:45,,,12:42:05,,,12:38:40,,12:35:25,,12:32:25,,12:29:50,12:27:15,
C9095,00:00:00,13:36:15,13:34:15,13:32:20,13:30:05,13:27:20,13:24:50,13:20:35,13:18:30,13:16:25,13:14:20,13:12:00,13:09:45,13:07:10,13:05:15,13:03:20,13:00:55,12:58:45,12:56:40,12:54:05,12:49:40,12:47:50,12:46:05,12:43:50,12:41:35,12:39:15,12:37:20,12:35:20,12:33:25,12:31:05,
E9579,,00:00:00,,,,,13:12:55,,,13:09:00,,,13:04:35,,13:00:55,,12:57:45,,,12:53:05,,,12:49:40,,12:46:25,,12:43:25,,12:40:50,12:38:15,
C9097,00:00:00,13:47:15,13:45:15,13:43:20,13:41:05,13:38:20,13:35:50,13:31:35,13:29:30,13:27:25,13:25:20,13:23:00,13:20:45,13:18:10,13:16:15,13:14:20,13:11:55,13:09:45,13:07:40,13:05:05,13:00:40,12:58:50,12:57:05,12:54:50,12:52:35,12:50:15,12:48:20,12:46:20,12:44:25,12:42:05,
E9581,,00:00:00,,,,,13:23:55,,,13:20:00,,,13:15:35,,13:11:55,,13:08:45,,,13:04:05,,,13:00:40,,12:57:25,,12:54:25,,12:51:50,12:49:15,
C9099,00:00:00,13:58:15,13:56:15,13:54:20,13:52:05,13:49:20,13:46:50,13:42:35,13:40:30,13:38:25,13:36:20,13:34:00,13:31:45,13:29:10,13:27:15,13:25:20,13:22:55,13:20:45,13:18:40,13:16:05,13:11:40,13:09:50,13:08:05,13:05:50,13:03:35,13:01:15,12:59:20,12:57:20,12:55:25,12:53:05,
E9583,,00:00:00,,,,,13:34:55,,,13:31:00,,,13:26:35,,13:22:55,,13:19:45,,,13:15:05,,,13:11:40,,13:08:25,,13:05:25,,13:02:50,13:00:15,
C9101,00:00:00,14:09:15,14:07:15,14:05:20,14:03:05,14:00:20,13:57:50,13:53:35,13:51:30,13:49:25,13:47:20,13:45:00,13:42:45,13:40:10,13:38:15,13:36:20,13:33:55,13:31:45,13:29:40,13:27:05,13:22:40,13:20:50,13:19:05,13:16:50,13:14:35,13:12:15,13:10:20,13:08:20,13:06:25,13:04:05,
E9585,,00:00:00,,,,,13:45:55,,,13:42:00,,,13:37:35,,13:33:55,,13:30:45,,,13:26:05,,,13:22:40,,13:19:25,,13:16:25,,13:13:50,13:11:15,
C9103,00:00:00,14:20:15,14:18:15,14:16:20,14:14:05,14:11:20,14:08:50,14:04:35,14:02:30,14:00:25,13:58:20,13:56:00,13:53:45,13:51:10,13:49:15,13:47:20,13:44:55,13:42:45,13:40:40,13:38:05,13:33:40,13:31:50,13:30:05,13:27:50,13:25:35,13:23:15,13:21:20,13:19:20,13:17:25,13:15:05,
E9587,,00:00:00,,,,,13:56:55,,,13:53:00,,,13:48:35,,13:44:55,,13:41:45,,,13:37:05,,,13:33:40,,13:30:25,,13:27:25,,13:24:50,13:22:15,
C9105,00:00:00,14:31:35,14:29:35,14:27:40,14:25:25,14:22:40,14:20:10,14:15:55,14:13:50,14:11:45,14:09:40,14:07:20,14:05:05,14:02:30,14:00:35,13:58:40,13:56:15,13:54:05,13:52:00,13:49:25,13:45:00,13:43:10,13:41:20,13:39:05,13:36:45,13:34:25,13:32:25,13:30:25,13:28:25,13:26:05,
E9589,,00:00:00,,,,,14:07:55,,,14:04:00,,,13:59:45,,13:56:10,,13:53:05,,,13:48:35,,,13:45:10,,13:42:05,,13:39:15,,13:36:40,13:34:15,
C9107,00:00:00,14:43:15,14:41:15,14:39:20,14:37:05,14:34:20,14:31:50,14:27:35,14:25:30,14:23:25,14:21:20,14:19:00,14:16:45,14:14:10,14:12:15,14:10:20,14:07:55,14:05:45,14:03:40,14:01:05,13:56:40,13:54:50,13:53:05,13:50:50,13:48:35,13:46:15,13:44:20,13:42:20,13:40:25,13:38:05,
E9591,,00:00:00,,,,,14:19:15,,,14:15:25,,,14:11:15,,14:07:45,,14:04:45,,,14:00:15,,,13:56:40,,13:53:30,,13:50:35,,13:47:55,13:45:25,
