Train No,암사,천호,강동구청,몽촌토성,잠실,석촌,송파,가락시장,문정,장지,복정,산성,남한산성입구,단대오거리,신흥,수진,모란,
8239,21:27:00,21:28:30,21:30:40,21:33:10,21:34:50,21:37:20,21:39:00,21:40:40,21:42:30,21:44:00,21:45:30,21:49:10,21:51:50,21:53:30,21:55:10,21:56:40,21:58:30,
8241,21:35:00,21:36:30,21:38:40,21:41:10,21:42:50,21:45:20,21:47:00,21:48:40,21:50:30,21:52:00,21:53:30,21:57:10,21:59:50,22:01:30,22:03:10,22:04:40,22:06:30,
8243,21:43:00,21:44:30,21:46:40,21:49:10,21:50:50,21:53:20,21:55:00,21:56:40,21:58:30,22:00:00,22:01:30,22:05:10,22:07:50,22:09:30,22:11:10,22:12:40,22:14:30,
8245,21:51:00,21:52:30,21:54:40,21:57:10,21:58:50,22:01:20,22:03:00,22:04:40,22:06:30,22:08:00,22:09:30,22:13:10,22:15:50,22:17:30,22:19:10,22:20:40,22:22:30,
8247,21:59:00,22:00:30,22:02:40,22:05:10,22:06:50,22:09:20,22:11:00,22:12:40,22:14:30,22:16:00,22:17:30,22:21:10,22:23:50,22:25:30,22:27:10,22:28:40,22:30:30,
8249,22:07:00,22:08:30,22:10:40,22:13:10,22:14:50,22:17:20,22:19:00,22:20:40,22:22:30,22:24:00,22:25:30,22:29:10,22:31:50,22:33:30,22:35:10,22:36:40,22:38:30,
8251,22:15:00,22:16:30,22:18:40,22:21:10,22:22:50,22:25:20,22:27:00,22:28:40,22:30:30,22:32:00,22:33:30,22:37:10,22:39:50,22:41:30,22:43:10,22:44:40,22:46:30,
8253,22:23:00,22:24:30,22:26:40,22:29:10,22:30:50,22:33:20,22:35:00,22:36:40,22:38:30,22:40:00,22:41:30,22:45:10,22:47:50,22:49:30,22:51:10,22:52:40,22:54:30,
8255,22:32:00,22:33:30,22:35:40,22:38:10,22:39:50,22:42:20,22:44:00,22:45:40,22:47:30,22:49:00,22:50:30,22:54:10,22:56:50,22:58:30,23:00:10,23:01:40,23:03:30,
8257,22:41:00,22:42:30,22:44:40,22:47:10,22:48:50,22:51:20,22:53:00,22:54:40,22:56:30,22:58:00,22:59:30,23:03:10,23:05:50,23:07:30,23:09:10,23:10:40,23:12:30,
8259,22:51:00,22:52:30,22:54:40,22:57:10,22:58:50,23:01:20,23:03:00,23:04:40,23:06:30,23:08:00,23:09:30,23:13:10,23:15:50,23:17:30,23:19:10,23:20:40,23:22:30,
